,Month,Day,Hour,electron,cool,heat
249,1,11,8,13761.84,98.55,2106.67
250,1,11,9,16263.15,100,2384
251,1,11,10,19169.73,102.87,2643.82
252,1,11,11,21549.18,107.49,2947.06
253,1,11,12,22983.24,108.21,3204.18
254,1,11,13,23146.31,109.16,3386.85
255,1,11,14,22333.92,112.05,3714.38
256,1,11,15,20476.37,112.57,3800.26
257,1,11,16,17264.3,113.28,3870.07
258,1,11,17,14893.75,111.09,3642.52
259,1,11,18,14396.49,108.37,3226.11
260,1,11,19,13867.32,103.23,2899.9
261,1,11,20,13505.43,100.02,2711.49
262,1,11,21,13802.78,99.59,2510.92
263,1,11,22,14928.71,100.53,2275.91
264,1,11,23,14203.65,95.43,2009.99
265,1,12,0,12212.1,86.13,1787.55
266,1,12,1,12155.1,86.46,1774.89
267,1,12,2,12269.59,85.86,1701.57
268,1,12,3,12214.81,87.27,1794.96
269,1,12,4,12242.56,88.17,1755.56
270,1,12,5,12817.1,93.02,1823.68
271,1,12,6,13503.42,98.84,1964.23
272,1,12,7,13906.62,99.95,1906.33
273,1,12,8,14177.72,100.03,2017.86
274,1,12,9,16997.82,99.8,2075.97
275,1,12,10,20035.33,103.56,2468.42
276,1,12,11,22567.3,108.46,2914.75
277,1,12,12,24431.22,112.28,3189.71
278,1,12,13,25222.14,119.97,3597.1
279,1,12,14,24270.54,120.18,3747.16
280,1,12,15,22275.27,120.24,3828.5
281,1,12,16,18633.55,118.89,3738.76
282,1,12,17,16339.56,115.14,3541.75
283,1,12,18,14757.64,107.23,3083.5
284,1,12,19,13744.74,99.94,2718.32
285,1,12,20,13337.03,98.29,2577.9
286,1,12,21,13375.94,97.9,2411.99
287,1,12,22,14177.26,97.19,2133.27
288,1,12,23,13741.22,92.93,1910.55
289,1,13,0,13675.6,91.04,1741.41
290,1,13,1,13569.36,90.89,1697.28
291,1,13,2,13543.65,90.51,1651.51
292,1,13,3,13579.38,90.73,1606.97
293,1,13,4,13599.91,92.54,1669.16
294,1,13,5,14145.26,97.54,1795.19
295,1,13,6,14750.36,102.67,1802.81
296,1,13,7,14026.65,101.77,1903.85
297,1,13,8,13700.22,97.53,1811.66
298,1,13,9,16641.01,99.92,2062.28
299,1,13,10,18835.64,98.77,2110.91
300,1,13,11,21101.93,100.47,2374.62
301,1,13,12,22574.78,103.16,2752.75
302,1,13,13,22349.57,107.51,3159.34
303,1,13,14,21910.56,110.35,3454.78
304,1,13,15,20682.86,113.16,3740.86
305,1,13,16,17247.62,115.41,3867.91
306,1,13,17,14842.06,111.18,3554.45
307,1,13,18,13668.08,106.62,3262.72
308,1,13,19,13093.34,102.02,3002.33
309,1,13,20,12648.34,96.47,2639.9
310,1,13,21,12876.88,95.86,2532.62
311,1,13,22,15104.45,99.94,2246.45
312,1,13,23,13902.77,93.08,1984.95
313,1,14,0,13967.17,92.28,1777.05
314,1,14,1,14052.6,92.69,1798.54
315,1,14,2,13816.22,91.5,1736.54
316,1,14,3,13877.85,91.78,1687.44
317,1,14,4,13846.33,93.72,1791.86
318,1,14,5,14374.55,98.41,1809.91
319,1,14,6,14959.48,103.2,1898.14
320,1,14,7,15298.02,105.49,1986.35
321,1,14,8,14022.5,99.08,1976.02
322,1,14,9,16277.31,98.47,2138.87
323,1,14,10,18804.4,99.54,2317.67
324,1,14,11,20802.81,103.76,2858.81
325,1,14,12,22635.98,108.58,3382.44
326,1,14,13,22907.66,115.01,3952.51
327,1,14,14,22165.97,118.89,4272.24
328,1,14,15,20531.99,119.76,4405.2
329,1,14,16,17529.32,120.29,4467.67
330,1,14,17,14964.06,117.01,4277.31
331,1,14,18,13776.57,110.11,3766.29
332,1,14,19,13671.3,106.07,3418.4
333,1,14,20,14512.46,106.98,3224.49
334,1,14,21,14856.41,106.06,3008.57
335,1,14,22,15538.86,104.13,2661.75
336,1,14,23,14835.32,99.04,2491.05
337,1,15,0,14811.78,98.6,2364.97
338,1,15,1,14620.9,96.58,2220.27
339,1,15,2,14019.22,93.52,2069.2
340,1,15,3,13832.79,92.7,2016.87
341,1,15,4,13972.77,95.19,2140.39
342,1,15,5,14464.47,99.44,2158.15
343,1,15,6,15027.46,102.45,2198.58
344,1,15,7,14307.49,101.06,2346.83
345,1,15,8,14265.61,99.62,2413.05
346,1,15,9,16480.37,104.34,3150.18
347,1,15,10,19320.7,113.63,3849.7
348,1,15,11,21781.04,119.19,4248.11
349,1,15,12,23258.98,123.58,4571.89
350,1,15,13,23616.97,127.7,4948.01
351,1,15,14,22768.89,128.99,5081.38
352,1,15,15,21165.85,131.63,5327.98
353,1,15,16,18116.77,132.66,5481.78
354,1,15,17,15026.06,127.21,5094.39
355,1,15,18,13861.05,119.03,4423.6
356,1,15,19,14125.89,113.83,3878.61
357,1,15,20,14882.02,114.96,3672.34
358,1,15,21,15075.96,112.94,3398.97
359,1,15,22,16339.42,112.01,2995.48
360,1,15,23,15656.54,104.71,2602.65
361,1,16,0,15217.46,100.81,2323.92
362,1,16,1,14604.5,97.28,2131.3
363,1,16,2,14497.4,97.08,2168.29
364,1,16,3,14389.31,96.57,2100.4
365,1,16,4,14296.74,97.01,2113.3
366,1,16,5,13687.83,95.28,2091.86
367,1,16,6,13926.16,96.6,2110.8
368,1,16,7,14157.89,97.64,2106.9
369,1,16,8,13343.36,95.43,2230.96
370,1,16,9,15406.82,94.48,2343.93
371,1,16,10,18456.08,98.34,2739.07
372,1,16,11,21061.14,106.65,3407.02
373,1,16,12,23934.09,119.08,4055.67
374,1,16,13,24263.43,123.71,4415.21
375,1,16,14,23711.05,128.07,4771.98
376,1,16,15,22365.08,129.93,4942.39
377,1,16,16,19596.98,130.82,5011.03
378,1,16,17,16731.28,126.34,4609.25
379,1,16,18,15456.18,120.26,4143.27
380,1,16,19,14707.24,113.51,3758.67
381,1,16,20,14052.08,108.33,3455.38
382,1,16,21,13233.92,101.74,3149.23
383,1,16,22,12730.16,97.21,2947.64
384,1,16,23,12491.81,93.08,2613.67
385,1,17,0,12253.11,89.98,2419.44
386,1,17,1,11925.21,89.03,2309.4
387,1,17,2,11854.28,89.53,2396.6
388,1,17,3,11779.72,89.29,2311.99
389,1,17,4,11787.49,88.88,2245.88
390,1,17,5,12030.62,91.74,2370.92
391,1,17,6,12351.02,93.64,2437.43
392,1,17,7,12558.68,95.02,2425.14
393,1,17,8,12939.45,94.69,2451.38
394,1,17,9,15886.39,97.32,2803.35
395,1,17,10,19404.37,106.32,3395.02
396,1,17,11,22522.96,116.75,4071.63
397,1,17,12,24174.88,122.87,4444.44
398,1,17,13,24673.42,127.63,4731.54
399,1,17,14,24240.91,130.83,4976.66
400,1,17,15,22963.8,133.43,5127.26
401,1,17,16,20130.98,133.58,5095.4
402,1,17,17,17085.76,129.73,4796.82
403,1,17,18,15855.42,123.66,4255.71
404,1,17,19,15038.41,116.26,3833.55
405,1,17,20,14541.21,112.03,3556.76
406,1,17,21,13923.03,105.83,3151.25
407,1,17,22,13079.77,96.96,2682.6
408,1,17,23,12187.44,89.6,2276.6
409,1,18,0,12373.02,89.06,2129.89
410,1,18,1,12375.49,89.14,2034.25
411,1,18,2,12328.71,89.11,2017.86
412,1,18,3,12264.85,88.84,1973.87
413,1,18,4,12363.87,90.79,2018.07
414,1,18,5,12846.72,95.12,2071.21
415,1,18,6,13335.67,97.06,2085.15
416,1,18,7,13573.7,98.92,2162.15
417,1,18,8,13771.73,97.49,2144.47
418,1,18,9,16391.23,96.83,2299.06
419,1,18,10,19031.4,101.73,2738.25
420,1,18,11,21421.23,109.66,3417.46
421,1,18,12,22877.97,115.77,3948.58
422,1,18,13,23625.2,121.58,4352.56
423,1,18,14,22991.78,124.35,4592.38
424,1,18,15,19559.14,124.07,4603.9
425,1,18,16,17079.48,121.38,4408.43
426,1,18,17,15335.48,118.35,4201.74
427,1,18,18,14368.72,113.64,3871.83
428,1,18,19,14153.52,111.17,3695.36
429,1,18,20,13959.09,108.48,3490.96
430,1,18,21,14494.78,108.63,3349.63
431,1,18,22,14648.77,103.98,2998.69
432,1,18,23,14535.95,101.83,2846.21
433,1,19,0,14608.41,100.93,2705.59
434,1,19,1,14543.21,99.26,2616.31
435,1,19,2,14467.61,98.79,2532.24
436,1,19,3,14266.44,98.58,2570.21
437,1,19,4,14625.12,100.58,2735.12
438,1,19,5,15148.87,105.11,2986.43
439,1,19,6,14674.28,106.25,3113.39
440,1,19,7,13388.08,99.47,2824.84
441,1,19,8,13431.87,97.62,2772.94
442,1,19,9,14674.96,98.19,2870.12
443,1,19,10,16705.89,103.46,3219.34
444,1,19,11,17306.42,105.66,3467.55
445,1,19,12,18841,109.55,3784.63
446,1,19,13,23190.68,119.3,4334.41
447,1,19,14,18776.31,122.92,4432.31
448,1,19,15,18866.81,123.46,4598.44
449,1,19,16,17325.46,123.83,4585.95
450,1,19,17,15463.87,120.75,4363.22
451,1,19,18,14957.22,118.23,4187.19
452,1,19,19,14646.29,116.09,4019.38
